Make,Make_ID,Model,Model_ID,Year
BMW,90,Z3,1244,2000-2002
BMW,90,3-Series,1150,2000-2006
BMW,90,3-Series Sport Wagon,1151,2000-2006
BMW,90,5-Series,1152,2000-2004
BMW,90,5-Series Gran Turismo,1153,2000-2004
BMW,90,5-Series,1152,2003-2005
BMW,90,5-Series Gran Turismo,1153,2003-2005
BMW,90,X3,1241,2003-2006
BMW,90,Z4,1245,2002-2005
